STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PATENT_AUTHORITIES,Patent authorities,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DATE_TYPE,Reference date type,REF_AREA,Reference area,PARTNER_AREA,Counterpart area,AGENT_ROLE,Agent role,COOPERATION_TYPE,Cooperation type,WIPO,World Intellectual Property Organization domains,OECD_TECHNOLOGY_PATENT,Selected OECD technology domains,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,SVK,Slovak Republic,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,SLV,El Salvador,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,GTM,Guatemala,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,CUB,Cuba,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MDA,Moldova,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,UZB,Uzbekistan,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,KEN,Kenya,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LBN,Lebanon,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,BIH,Bosnia and Herzegovina,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LTU,Lithuania,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MKD,North Macedonia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,TUN,Tunisia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,EST,Estonia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,GEO,Georgia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,BLR,Belarus,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,DJI,Djibouti,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,JOR,Jordan,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,AND,Andorra,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LVA,Latvia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PAN,Panama,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,SYC,Seychelles,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,URY,Uruguay,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ISL,Iceland,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,DZA,Algeria,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,TTO,Trinidad and Tobago,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,KAZ,Kazakhstan,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,COL,Colombia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,VEN,Venezuela,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LKA,Sri Lanka,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,YUG_F,Former Yugoslavia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LIE,Liechtenstein,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MNG,Mongolia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,KWT,Kuwait,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PRI,Puerto Rico,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PRK,Democratic People’s Republic of Korea,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ARE,United Arab Emirates,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ZWE,Zimbabwe,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ZWE,Zimbabwe,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PRK,Democratic People’s Republic of Korea,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ZAF,South Africa,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PRI,Puerto Rico,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,KWT,Kuwait,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MNG,Mongolia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,LIE,Liechtenstein,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,YUG_F,Former Yugoslavia,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,GRC,Greece,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,TTO,Trinidad and Tobago,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,DZA,Algeria,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ISL,Iceland,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,URY,Uruguay,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,SYC,Seychelles,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2020,,0,,A,Normal value,1,One,0,Units
